time,open,high,low,close,Volume
2025-05-22T15:00:00+03:00,178.07,178.55,177.53,177.61,25235.284
2025-05-22T15:15:00+03:00,177.61,178.37,177.46,178.02,28882.041
2025-05-22T15:30:00+03:00,178.02,178.53,177.49,178.26,40744.273
2025-05-22T15:45:00+03:00,178.27,178.84,178.14,178.67,19783.783
2025-05-22T16:00:00+03:00,178.67,178.7,177.17,177.45,31347.868
2025-05-22T16:15:00+03:00,177.45,178.37,177.19,178.37,28131.535
2025-05-22T16:30:00+03:00,178.37,179.1,176.94,177.99,66715.401
2025-05-22T16:45:00+03:00,177.98,178.61,177.24,177.25,75977.77
2025-05-22T17:00:00+03:00,177.24,178.27,177.19,177.89,42050.084
2025-05-22T17:15:00+03:00,177.89,178.76,177.83,178.65,48014.674
2025-05-22T17:30:00+03:00,178.66,179.65,178.22,179.19,83254.873
2025-05-22T17:45:00+03:00,179.19,179.56,178.3,178.77,46190.488
2025-05-22T18:00:00+03:00,178.77,179.19,178.54,179.05,25527.142
2025-05-22T18:15:00+03:00,179.05,179.39,178.62,179.1,31254.849
2025-05-22T18:30:00+03:00,179.1,179.85,178.98,179.8,32991.999
2025-05-22T18:45:00+03:00,179.81,179.89,178.82,179.02,26267.692
2025-05-22T19:00:00+03:00,179.03,180,179.02,180,30953.849
2025-05-22T19:15:00+03:00,179.99,180.36,178.85,178.85,34366.791
2025-05-22T19:30:00+03:00,178.85,179.52,178.12,179.4,36317.923
2025-05-22T19:45:00+03:00,179.39,179.41,177.93,178.37,35016.203
2025-05-22T20:00:00+03:00,178.36,178.71,177.97,178.43,17464.978
2025-05-22T20:15:00+03:00,178.42,179.83,178.36,179.3,25973.334
2025-05-22T20:30:00+03:00,179.31,179.92,179.22,179.42,21732.774
2025-05-22T20:45:00+03:00,179.42,179.42,178.75,179.07,25829.738
2025-05-22T21:00:00+03:00,179.06,179.18,178.52,179.09,15543.93
2025-05-22T21:15:00+03:00,179.09,179.74,179.09,179.48,15203.089
2025-05-22T21:30:00+03:00,179.49,179.97,179.32,179.57,33254.656
2025-05-22T21:45:00+03:00,179.58,179.71,179.32,179.32,20257.168
2025-05-22T22:00:00+03:00,179.32,179.5,178.47,179.25,31937.849
2025-05-22T22:15:00+03:00,179.25,179.27,178.56,178.74,11582.544
